id	mass	x	y	vel_x	vel_y
0	2.76505e+39	1.49087e+16	1.30775e+15	8.45546e+10	7.41006e+09	
1	4.219e+39	-1.2678e+17	-1.00206e+17	-7.18736e+11	-5.68067e+11	
2	6.61273e+39	-9.73007e+15	-2.13588e+16	-5.51493e+10	-1.21089e+11	
3	3.77264e+39	1.78132e+16	8.62013e+15	1.01011e+11	4.88876e+10	
4	2.9552e+38	5.2993e+16	-6.62473e+16	3.00366e+11	-3.75602e+11	
5	3.7834e+39	3.99725e+15	2.52341e+16	2.27089e+10	1.43094e+11	
6	6.38032e+39	-9.72845e+16	-2.92217e+17	-5.51525e+11	-1.65654e+12	
7	8.94255e+39	3.21058e+16	1.64572e+16	1.81998e+11	9.32677e+10	
8	5.50108e+39	-6.67632e+16	-4.15035e+16	-3.78464e+11	-2.35285e+11	
9	9.05841e+39	-7.35915e+16	4.41694e+16	-4.17166e+11	2.50403e+11	
10	8.37914e+39	4.87628e+15	1.21769e+16	2.76688e+10	6.90075e+10	
11	3.13664e+38	8.2701e+15	-3.05603e+15	4.68988e+10	-1.72864e+10	
12	3.9296e+39	3.37951e+16	4.59407e+16	1.91617e+11	2.60416e+11	
13	2.65417e+39	-3.7662e+15	-1.14013e+16	-2.13655e+10	-6.46216e+10	
14	8.16201e+38	1.77069e+16	4.56049e+15	1.00422e+11	2.58446e+10	
15	7.87737e+39	2.06233e+16	-4.30983e+16	1.16947e+11	-2.44347e+11	
16	6.17399e+39	4.32497e+15	4.3426e+16	2.45215e+10	2.46228e+11	
17	6.62039e+39	-5.87908e+16	-1.07578e+15	-3.33302e+11	-6.12106e+09	
18	6.29793e+39	3.53078e+16	-4.82961e+15	2.002e+11	-2.74162e+10	
19	3.21674e+39	1.72786e+15	3.79448e+16	9.77833e+09	2.15162e+11	
20	4.36953e+39	-2.04394e+16	-1.69142e+15	-1.15917e+11	-9.57488e+09	
21	2.17569e+39	5.72603e+16	-6.3334e+15	3.24643e+11	-3.58478e+10	
22	5.99901e+39	2.30454e+16	-2.88458e+16	1.30685e+11	-1.63543e+11	
23	7.28221e+39	1.39652e+15	2.32117e+16	7.91492e+09	1.31611e+11	
24	5.83812e+38	-2.74018e+15	1.31268e+16	-1.55308e+10	7.44644e+10	
25	2.03937e+39	-2.32771e+16	-5.74176e+16	-1.31947e+11	-3.25532e+11	
26	9.68225e+39	6.30476e+16	4.76744e+16	3.57452e+11	2.70226e+11	
27	7.51434e+38	-1.8908e+16	-3.29522e+16	-1.07182e+11	-1.86834e+11	
28	4.21624e+39	-1.40987e+17	1.43681e+17	-7.9921e+11	8.1448e+11	
29	3.8345e+38	-4.05187e+15	-1.99723e+14	-2.30083e+10	-1.15166e+09	
30	2.53241e+39	6.57846e+15	1.95279e+15	3.76751e+10	1.10899e+10	
31	1.56203e+39	9.58847e+15	2.34605e+16	5.4326e+10	1.33015e+11	
32	6.18679e+39	1.75535e+16	-1.8668e+16	9.94813e+10	-1.05849e+11	
33	4.76452e+39	1.4376e+16	-2.5254e+15	8.14614e+10	-1.43295e+10	
34	3.23592e+39	-1.01683e+17	-2.27515e+16	-5.76425e+11	-1.28955e+11	
35	4.79503e+39	-1.56022e+16	-1.21241e+16	-8.84763e+10	-6.87612e+10	
36	2.59976e+39	4.13633e+15	2.73049e+16	2.34359e+10	1.54829e+11	
37	9.43491e+39	7.08366e+14	-2.52213e+16	4.02004e+09	-1.43014e+11	
38	4.61228e+39	1.89034e+16	2.14732e+15	1.0721e+11	1.21433e+10	
39	9.09512e+38	2.20151e+17	1.36041e+17	1.24807e+12	7.71169e+11	
40	5.58815e+39	-3.67097e+15	5.31814e+15	-2.07895e+10	3.01296e+10	
41	8.05727e+39	-6.79867e+17	-7.2077e+16	-3.85413e+12	-4.08644e+11	
42	6.78177e+38	2.10527e+16	4.57025e+15	1.19376e+11	2.59293e+10	
43	2.44818e+39	-3.49644e+16	6.42346e+15	-1.98265e+11	3.6414e+10	
44	6.90449e+39	2.64615e+16	5.16363e+13	1.50042e+11	2.98129e+08	
45	7.8975e+39	5.22202e+16	-3.25031e+16	2.96085e+11	-1.84273e+11	
46	2.57738e+39	1.71836e+16	-6.72e+15	9.73837e+10	-3.80963e+10	
47	5.86281e+39	3.6391e+16	-9.59942e+15	2.06291e+11	-5.43838e+10	
48	6.84096e+39	3.23054e+15	-2.81823e+16	1.83485e+10	-1.59779e+11	
49	6.79401e+39	5.0818e+16	-6.58816e+16	2.88078e+11	-3.73441e+11	
50	8.98816e+39	2.90482e+16	-3.23489e+15	1.64725e+11	-1.83781e+10	
51	2.23481e+39	-4.24883e+16	9.05329e+16	-2.4085e+11	5.13227e+11	
52	6.18269e+39	2.04178e+15	-2.1063e+15	1.15525e+10	-1.1943e+10	
53	4.7773e+38	-3.56411e+15	-4.26529e+14	-2.0189e+10	-2.39971e+09	
54	3.72291e+39	-4.50947e+16	5.21916e+15	-2.55682e+11	2.95688e+10	
55	5.69832e+39	2.61864e+17	-2.20295e+17	1.48452e+12	-1.24887e+12	
56	9.58528e+39	9.26894e+15	3.17019e+16	5.25373e+10	1.7976e+11	
57	7.08726e+39	-6.25074e+15	-5.80104e+15	-3.54838e+10	-3.29217e+10	
58	5.37161e+38	-1.3194e+16	1.48942e+16	-7.48454e+10	8.44782e+10	
59	8.39052e+39	-3.53832e+16	-2.83635e+15	-2.00573e+11	-1.60312e+10	
60	2.50722e+39	5.96622e+15	1.27248e+16	3.38661e+10	7.21508e+10	
61	8.88885e+39	2.66872e+15	-2.52718e+16	1.509e+10	-1.4323e+11	
62	8.4229e+39	-6.93356e+16	8.06896e+16	-3.9305e+11	4.57432e+11	
63	5.81291e+39	-3.92065e+15	-3.05078e+16	-2.22725e+10	-1.73e+11	
64	3.08256e+39	2.98756e+16	-6.09906e+16	1.69386e+11	-3.4579e+11	
65	5.26079e+39	-7.38888e+15	3.42941e+16	-4.19139e+10	1.94436e+11	
66	1.6889e+39	1.58899e+16	5.60306e+15	9.01253e+10	3.18051e+10	
67	5.50606e+39	8.9333e+15	1.40815e+16	5.05079e+10	7.97722e+10	
68	2.12209e+39	-1.86195e+16	-6.85397e+15	-1.05596e+11	-3.89106e+10	
69	7.38344e+39	1.04853e+17	-1.60274e+17	5.94424e+11	-9.0853e+11	
70	9.19532e+39	-1.20388e+16	-1.81857e+15	-6.8279e+10	-1.03e+10	
71	2.56758e+39	1.55959e+16	-1.81917e+16	8.84525e+10	-1.03136e+11	
72	5.64367e+39	1.48461e+17	-1.5574e+16	8.41558e+11	-8.82685e+10	
73	2.33252e+39	-2.05029e+16	-1.61756e+15	-1.16185e+11	-9.20215e+09	
74	8.33408e+39	-2.51809e+16	-1.97701e+16	-1.42762e+11	-1.12054e+11	
75	4.38335e+39	5.56745e+15	7.48766e+15	3.15726e+10	4.24874e+10	
76	6.65564e+39	1.3666e+17	1.02489e+17	7.7471e+11	5.81027e+11	
77	7.0785e+39	-1.65973e+15	2.23302e+15	-9.3698e+09	1.26815e+10	
78	6.44498e+39	-2.78805e+16	1.26169e+16	-1.58054e+11	7.15107e+10	
79	9.41184e+38	-2.83767e+16	2.77675e+16	-1.60821e+11	1.5743e+11	
80	9.76344e+39	9.69537e+16	1.19593e+17	5.49571e+11	6.78005e+11	
81	2.78163e+39	-8.90683e+14	-1.05751e+16	-5.02439e+09	-5.99665e+10	
82	6.85549e+39	4.93852e+16	3.73525e+16	2.80004e+11	2.11799e+11	
83	8.90195e+39	-3.01848e+16	1.94739e+16	-1.71172e+11	1.10417e+11	
84	6.01319e+39	1.45046e+16	3.90508e+16	8.2177e+10	2.21331e+11	
85	3.31151e+39	-1.99132e+15	-2.36128e+16	-1.12934e+10	-1.33863e+11	
86	8.48704e+39	-1.06259e+16	4.00374e+16	-6.02446e+10	2.26963e+11	
87	2.47877e+39	2.6269e+16	2.06464e+17	1.48944e+11	1.1704e+12	
88	1.3572e+39	-1.11472e+16	-5.03508e+15	-6.32187e+10	-2.8546e+10	
89	8.05413e+38	3.59285e+17	-1.29211e+17	2.03679e+12	-7.32447e+11	
90	7.37389e+39	-4.64678e+16	-4.81567e+15	-2.63522e+11	-2.72941e+10	
91	9.98362e+39	-1.51524e+16	-3.62029e+15	-8.58464e+10	-2.05061e+10	
92	6.88979e+39	-5.13545e+17	1.78894e+17	-2.91126e+12	1.01417e+12	
93	4.32996e+39	-3.27591e+16	5.61904e+15	-1.85743e+11	3.18945e+10	
94	1.27539e+39	2.25812e+16	-2.19143e+16	1.28064e+11	-1.24248e+11	
95	5.92844e+39	-3.20336e+15	1.60183e+15	-1.81565e+10	9.03362e+09	
96	3.17437e+39	5.97592e+16	-3.24105e+17	3.38803e+11	-1.83729e+12	
97	3.03986e+39	2.14934e+15	3.32456e+16	1.2206e+10	1.88449e+11	
98	6.85876e+39	2.26918e+15	4.33597e+16	1.28149e+10	2.45856e+11	
99	1.99076e+39	-2.51843e+16	1.58283e+16	-1.42789e+11	8.97613e+10	
